id_sede,nombre_sede,ubicacion
166,Sede Principal,Ciudad B
168,Sede Principal,Ciudad E
169,Sede Principal,Ciudad A
170,Sede Principal,Ciudad A
174,Sede Principal,Ciudad C
175,Sede Principal,Ciudad B
176,Sede Principal,Ciudad B
179,Sede Principal,Ciudad D
182,Sede Principal,Ciudad E
183,Sede Principal,Ciudad C
186,Sede Principal,Ciudad B
187,Sede Principal,Ciudad A
191,Sede Principal,Ciudad E
194,Sede Principal,Ciudad C
195,Sede Principal,Ciudad B
196,Sede Principal,Ciudad C
197,Sede Principal,Ciudad E
199,Sede Principal,Ciudad C
200,Sede Principal,Ciudad A
202,Sede Principal,Ciudad C
204,Sede Principal,Ciudad C
205,Sede Principal,Ciudad C
206,Sede Principal,Ciudad E
207,Sede Principal,Ciudad E
209,Sede Principal,Ciudad B
212,Sede Principal,Ciudad B
213,Sede Principal,Ciudad E
215,Sede Principal,Ciudad D
216,Sede Principal,Ciudad B
217,Sede Principal,Ciudad B
218,Sede Principal,Ciudad E
222,Sede Principal,Ciudad A
223,Sede Principal,Ciudad D
224,Sede Principal,Ciudad B
225,Sede Principal,Ciudad B
226,Sede Principal,Ciudad D
228,Sede Principal,Ciudad B
229,Sede Principal,Ciudad B
231,Sede Principal,Ciudad C
232,Sede Principal,Ciudad E
233,Sede Principal,Ciudad C
234,Sede Principal,Ciudad D
236,Sede Principal,Ciudad D
237,Sede Principal,Ciudad E
240,Sede Principal,Ciudad E
241,Sede Principal,Ciudad E
243,Sede Principal,Ciudad B
244,Sede Principal,Ciudad E
245,Sede Principal,Ciudad C
246,Sede Principal,Ciudad E
247,Sede Principal,Ciudad A
248,Sede Principal,Ciudad D
249,Sede Principal,Ciudad D
250,Sede Principal,Ciudad B
251,Sede Principal,Ciudad C
252,Sede Principal,Ciudad D
253,Sede Principal,Ciudad C
254,Sede Principal,Ciudad D
256,Sede Principal,Ciudad D
257,Sede Principal,Ciudad B
258,Sede Principal,Ciudad B
259,Sede Principal,Ciudad B
261,Sede Principal,Ciudad D
262,Sede Principal,Ciudad D
263,Sede Principal,Ciudad C
265,Sede Principal,Ciudad A
266,Sede Principal,Ciudad E
269,Sede Principal,Ciudad B
270,Sede Principal,Ciudad A
271,Sede Principal,Ciudad A
272,Sede Principal,Ciudad D
273,Sede Principal,Ciudad E
274,Sede Principal,Ciudad D
275,Sede Principal,Ciudad E
276,Sede Principal,Ciudad E
279,Sede Principal,Ciudad A
284,Sede Principal,Ciudad E
286,Sede Principal,Ciudad D
287,Sede Principal,Ciudad D
289,Sede Principal,Ciudad D
291,Sede Principal,Ciudad C
292,Sede Principal,Ciudad C
294,Sede Principal,Ciudad C
296,Sede Principal,Ciudad E
299,Sede Principal,Ciudad E
303,Sede Principal,Ciudad C
304,Sede Principal,Ciudad E
305,Sede Principal,Ciudad B
308,Sede Principal,Ciudad C
309,Sede Principal,Ciudad A
310,Sede Principal,Ciudad C
311,Sede Principal,Ciudad D
313,Sede Principal,Ciudad E
314,Sede Principal,Ciudad C
318,Sede Principal,Ciudad D
319,Sede Principal,Ciudad C
320,Sede Principal,Ciudad B
324,Sede Principal,Ciudad A
326,Sede Principal,Ciudad D
327,Sede Principal,Ciudad C
328,Sede Principal,Ciudad E
329,Sede Principal,Ciudad C
331,Sede Principal,Ciudad B
332,Sede Principal,Ciudad E
333,Sede Principal,Ciudad D
334,Sede Principal,Ciudad C
335,Sede Principal,Ciudad E
336,Sede Principal,Ciudad D
337,Sede Principal,Ciudad A
338,Sede Principal,Ciudad D
339,Sede Principal,Ciudad D
341,Sede Principal,Ciudad E
342,Sede Principal,Ciudad C
343,Sede Principal,Ciudad D
344,Sede Principal,Ciudad A
345,Sede Principal,Ciudad B
346,Sede Principal,Ciudad E
350,Sede Principal,Ciudad C
351,Sede Principal,Ciudad E
352,Sede Principal,Ciudad D
354,Sede Principal,Ciudad D
355,Sede Principal,Ciudad D
356,Sede Principal,Ciudad B
357,Sede Principal,Ciudad E
358,Sede Principal,Ciudad C
359,Sede Principal,Ciudad C
362,Sede Principal,Ciudad A
364,Sede Principal,Ciudad C
365,Sede Principal,Ciudad E
367,Sede Principal,Ciudad A
368,Sede Principal,Ciudad C
371,Sede Principal,Ciudad A
372,Sede Principal,Ciudad C
373,Sede Principal,Ciudad C
378,Sede Principal,Ciudad D
383,Sede Principal,Ciudad A
384,Sede Principal,Ciudad D
385,Sede Principal,Ciudad A
386,Sede Principal,Ciudad B
387,Sede Principal,Ciudad A
388,Sede Principal,Ciudad E
389,Sede Principal,Ciudad A
390,Sede Principal,Ciudad E
391,Sede Principal,Ciudad E
392,Sede Principal,Ciudad D
393,Sede Principal,Ciudad C
394,Sede Principal,Ciudad D
397,Sede Principal,Ciudad D
399,Sede Principal,Ciudad C
401,Sede Principal,Ciudad D
402,Sede Principal,Ciudad D
404,Sede Principal,Ciudad D
405,Sede Principal,Ciudad E
406,Sede Principal,Ciudad C
407,Sede Principal,Ciudad A
410,Sede Principal,Ciudad B
411,Sede Principal,Ciudad B
412,Sede Principal,Ciudad A
413,Sede Principal,Ciudad C
414,Sede Principal,Ciudad E
415,Sede Principal,Ciudad D
417,Sede Principal,Ciudad C
418,Sede Principal,Ciudad E
419,Sede Principal,Ciudad E
423,Sede Principal,Ciudad C
425,Sede Principal,Ciudad B
426,Sede Principal,Ciudad D
427,Sede Principal,Ciudad C
428,Sede Principal,Ciudad E
429,Sede Principal,Ciudad B
430,Sede Principal,Ciudad D
431,Sede Principal,Ciudad D
432,Sede Principal,Ciudad B
433,Sede Principal,Ciudad E
436,Sede Principal,Ciudad E
437,Sede Principal,Ciudad D
439,Sede Principal,Ciudad E
440,Sede Principal,Ciudad B
441,Sede Principal,Ciudad B
442,Sede Principal,Ciudad B
443,Sede Principal,Ciudad B
444,Sede Principal,Ciudad C
445,Sede Principal,Ciudad E
447,Sede Principal,Ciudad C
450,Sede Principal,Ciudad E
452,Sede Principal,Ciudad D
454,Sede Principal,Ciudad A
456,Sede Principal,Ciudad D
457,Sede Principal,Ciudad A
458,Sede Principal,Ciudad E
461,Sede Principal,Ciudad B
462,Sede Principal,Ciudad A
465,Sede Principal,Ciudad D
466,Sede Principal,Ciudad D
467,Sede Principal,Ciudad C
468,Sede Principal,Ciudad B
470,Sede Principal,Ciudad A
473,Sede Principal,Ciudad A
474,Sede Principal,Ciudad D
475,Sede Principal,Ciudad A
476,Sede Principal,Ciudad D
477,Sede Principal,Ciudad A
478,Sede Principal,Ciudad D
480,Sede Principal,Ciudad B
481,Sede Principal,Ciudad E
482,Sede Principal,Ciudad A
484,Sede Principal,Ciudad C
485,Sede Principal,Ciudad B
486,Sede Principal,Ciudad C
487,Sede Principal,Ciudad A
489,Sede Principal,Ciudad E
490,Sede Principal,Ciudad C
491,Sede Principal,Ciudad C
492,Sede Principal,Ciudad D
493,Sede Principal,Ciudad E
496,Sede Principal,Ciudad C
499,Sede Principal,Ciudad B
501,Sede Principal,Ciudad E
502,Sede Principal,Ciudad E
504,Sede Principal,Ciudad C
505,Sede Principal,Ciudad A
508,Sede Principal,Ciudad E
509,Sede Principal,Ciudad D
510,Sede Principal,Ciudad E
511,Sede Principal,Ciudad B
513,Sede Principal,Ciudad E
514,Sede Principal,Ciudad B
515,Sede Principal,Ciudad C
517,Sede Principal,Ciudad E
518,Sede Principal,Ciudad E
520,Sede Principal,Ciudad A
522,Sede Principal,Ciudad B
523,Sede Principal,Ciudad D
525,Sede Principal,Ciudad A
526,Sede Principal,Ciudad B
527,Sede Principal,Ciudad A
528,Sede Principal,Ciudad C
529,Sede Principal,Ciudad B
530,Sede Principal,Ciudad D
531,Sede Principal,Ciudad C
532,Sede Principal,Ciudad D
534,Sede Principal,Ciudad E
535,Sede Principal,Ciudad B
536,Sede Principal,Ciudad B
537,Sede Principal,Ciudad D
540,Sede Principal,Ciudad B
541,Sede Principal,Ciudad D
543,Sede Principal,Ciudad E
544,Sede Principal,Ciudad E
545,Sede Principal,Ciudad A
546,Sede Principal,Ciudad C
548,Sede Principal,Ciudad E
549,Sede Principal,Ciudad C
550,Sede Principal,Ciudad D
551,Sede Principal,Ciudad A
552,Sede Principal,Ciudad A
553,Sede Principal,Ciudad E
555,Sede Principal,Ciudad C
557,Sede Principal,Ciudad C
559,Sede Principal,Ciudad E
560,Sede Principal,Ciudad B
562,Sede Principal,Ciudad B
563,Sede Principal,Ciudad E
565,Sede Principal,Ciudad A
566,Sede Principal,Ciudad B
567,Sede Principal,Ciudad C
568,Sede Principal,Ciudad C
569,Sede Principal,Ciudad C
570,Sede Principal,Ciudad D
571,Sede Principal,Ciudad C
572,Sede Principal,Ciudad E
574,Sede Principal,Ciudad D
575,Sede Principal,Ciudad D
576,Sede Principal,Ciudad C
577,Sede Principal,Ciudad C
579,Sede Principal,Ciudad B
580,Sede Principal,Ciudad A
583,Sede Principal,Ciudad A
584,Sede Principal,Ciudad A
585,Sede Principal,Ciudad D
586,Sede Principal,Ciudad C
587,Sede Principal,Ciudad B
588,Sede Principal,Ciudad B
590,Sede Principal,Ciudad C
591,Sede Principal,Ciudad D
592,Sede Principal,Ciudad B
595,Sede Principal,Ciudad E
596,Sede Principal,Ciudad C
597,Sede Principal,Ciudad C
598,Sede Principal,Ciudad A
599,Sede Principal,Ciudad E
601,Sede Principal,Ciudad C
604,Sede Principal,Ciudad E
605,Sede Principal,Ciudad B
606,Sede Principal,Ciudad A
607,Sede Principal,Ciudad C
610,Sede Principal,Ciudad E
611,Sede Principal,Ciudad B
612,Sede Principal,Ciudad E
616,Sede Principal,Ciudad B
618,Sede Principal,Ciudad D
619,Sede Principal,Ciudad B
621,Sede Principal,Ciudad A
623,Sede Principal,Ciudad E
624,Sede Principal,Ciudad B
625,Sede Principal,Ciudad E
626,Sede Principal,Ciudad C
628,Sede Principal,Ciudad D
629,Sede Principal,Ciudad B
630,Sede Principal,Ciudad B
631,Sede Principal,Ciudad E
632,Sede Principal,Ciudad A
633,Sede Principal,Ciudad E
635,Sede Principal,Ciudad E
637,Sede Principal,Ciudad E
638,Sede Principal,Ciudad C
639,Sede Principal,Ciudad E
640,Sede Principal,Ciudad C
641,Sede Principal,Ciudad C
643,Sede Principal,Ciudad C
646,Sede Principal,Ciudad A
647,Sede Principal,Ciudad B
649,Sede Principal,Ciudad B
651,Sede Principal,Ciudad B
652,Sede Principal,Ciudad A
656,Sede Principal,Ciudad E
658,Sede Principal,Ciudad A
661,Sede Principal,Ciudad B
662,Sede Principal,Ciudad C
665,Sede Principal,Ciudad B
666,Sede Principal,Ciudad A
667,Sede Principal,Ciudad E
670,Sede Principal,Ciudad D
671,Sede Principal,Ciudad E
672,Sede Principal,Ciudad A
674,Sede Principal,Ciudad E
675,Sede Principal,Ciudad C
679,Sede Principal,Ciudad B
680,Sede Principal,Ciudad B
682,Sede Principal,Ciudad B
685,Sede Principal,Ciudad C
690,Sede Principal,Ciudad A
691,Sede Principal,Ciudad E
692,Sede Principal,Ciudad A
694,Sede Principal,Ciudad C
695,Sede Principal,Ciudad C
696,Sede Principal,Ciudad E
697,Sede Principal,Ciudad C
699,Sede Principal,Ciudad B
701,Sede Principal,Ciudad A
704,Sede Principal,Ciudad C
705,Sede Principal,Ciudad B
706,Sede Principal,Ciudad E
707,Sede Principal,Ciudad B
708,Sede Principal,Ciudad D
709,Sede Principal,Ciudad D
710,Sede Principal,Ciudad D
713,Sede Principal,Ciudad C
714,Sede Principal,Ciudad D
716,Sede Principal,Ciudad E
717,Sede Principal,Ciudad C
720,Sede Principal,Ciudad A
723,Sede Principal,Ciudad A
724,Sede Principal,Ciudad C
725,Sede Principal,Ciudad A
728,Sede Principal,Ciudad C
729,Sede Principal,Ciudad C
730,Sede Principal,Ciudad D
731,Sede Principal,Ciudad B
732,Sede Principal,Ciudad A
733,Sede Principal,Ciudad E
735,Sede Principal,Ciudad B
736,Sede Principal,Ciudad D
737,Sede Principal,Ciudad A
740,Sede Principal,Ciudad D
741,Sede Principal,Ciudad B
743,Sede Principal,Ciudad C
744,Sede Principal,Ciudad D
745,Sede Principal,Ciudad C
746,Sede Principal,Ciudad B
747,Sede Principal,Ciudad B
748,Sede Principal,Ciudad D
751,Sede Principal,Ciudad E
752,Sede Principal,Ciudad C
753,Sede Principal,Ciudad A
754,Sede Principal,Ciudad A
756,Sede Principal,Ciudad C
757,Sede Principal,Ciudad E
758,Sede Principal,Ciudad A
759,Sede Principal,Ciudad A
761,Sede Principal,Ciudad D
762,Sede Principal,Ciudad C
763,Sede Principal,Ciudad A
765,Sede Principal,Ciudad A
767,Sede Principal,Ciudad D
768,Sede Principal,Ciudad A
769,Sede Principal,Ciudad E
771,Sede Principal,Ciudad C
772,Sede Principal,Ciudad C
773,Sede Principal,Ciudad C
774,Sede Principal,Ciudad D
775,Sede Principal,Ciudad B
776,Sede Principal,Ciudad B
777,Sede Principal,Ciudad A
781,Sede Principal,Ciudad C
786,Sede Principal,Ciudad E
787,Sede Principal,Ciudad D
788,Sede Principal,Ciudad C
792,Sede Principal,Ciudad E
794,Sede Principal,Ciudad A
795,Sede Principal,Ciudad A
796,Sede Principal,Ciudad E
797,Sede Principal,Ciudad E
798,Sede Principal,Ciudad C
800,Sede Principal,Ciudad A
801,Sede Principal,Ciudad D
804,Sede Principal,Ciudad C
806,Sede Principal,Ciudad E
807,Sede Principal,Ciudad C
808,Sede Principal,Ciudad C
809,Sede Principal,Ciudad E
811,Sede Principal,Ciudad A
812,Sede Principal,Ciudad D
813,Sede Principal,Ciudad A
815,Sede Principal,Ciudad C
817,Sede Principal,Ciudad C
819,Sede Principal,Ciudad B
821,Sede Principal,Ciudad A
823,Sede Principal,Ciudad A
826,Sede Principal,Ciudad C
827,Sede Principal,Ciudad A
828,Sede Principal,Ciudad A
829,Sede Principal,Ciudad C
830,Sede Principal,Ciudad A
831,Sede Principal,Ciudad E
832,Sede Principal,Ciudad C
834,Sede Principal,Ciudad A
835,Sede Principal,Ciudad E
837,Sede Principal,Ciudad C
839,Sede Principal,Ciudad E
841,Sede Principal,Ciudad C
844,Sede Principal,Ciudad B
845,Sede Principal,Ciudad B
846,Sede Principal,Ciudad E
848,Sede Principal,Ciudad B
849,Sede Principal,Ciudad D
850,Sede Principal,Ciudad C
851,Sede Principal,Ciudad D
852,Sede Principal,Ciudad A
855,Sede Principal,Ciudad B
856,Sede Principal,Ciudad C
858,Sede Principal,Ciudad C
859,Sede Principal,Ciudad B
860,Sede Principal,Ciudad B
861,Sede Principal,Ciudad D
862,Sede Principal,Ciudad B
863,Sede Principal,Ciudad C
864,Sede Principal,Ciudad E
866,Sede Principal,Ciudad B
868,Sede Principal,Ciudad A
869,Sede Principal,Ciudad B
870,Sede Principal,Ciudad D
871,Sede Principal,Ciudad D
872,Sede Principal,Ciudad A
873,Sede Principal,Ciudad B
874,Sede Principal,Ciudad C
875,Sede Principal,Ciudad D
877,Sede Principal,Ciudad C
879,Sede Principal,Ciudad E
881,Sede Principal,Ciudad E
883,Sede Principal,Ciudad E
884,Sede Principal,Ciudad E
885,Sede Principal,Ciudad E
886,Sede Principal,Ciudad B
887,Sede Principal,Ciudad B
889,Sede Principal,Ciudad C
890,Sede Principal,Ciudad E
891,Sede Principal,Ciudad A
892,Sede Principal,Ciudad E
893,Sede Principal,Ciudad C
894,Sede Principal,Ciudad B
896,Sede Principal,Ciudad D
897,Sede Principal,Ciudad E
898,Sede Principal,Ciudad E
899,Sede Principal,Ciudad D
900,Sede Principal,Ciudad A
902,Sede Principal,Ciudad C
904,Sede Principal,Ciudad E
906,Sede Principal,Ciudad B
908,Sede Principal,Ciudad A
909,Sede Principal,Ciudad D
911,Sede Principal,Ciudad E
912,Sede Principal,Ciudad B
913,Sede Principal,Ciudad D
914,Sede Principal,Ciudad D
915,Sede Principal,Ciudad B
916,Sede Principal,Ciudad E
917,Sede Principal,Ciudad D
918,Sede Principal,Ciudad C
921,Sede Principal,Ciudad E
923,Sede Principal,Ciudad A
924,Sede Principal,Ciudad C
925,Sede Principal,Ciudad E
926,Sede Principal,Ciudad D
927,Sede Principal,Ciudad B
930,Sede Principal,Ciudad D
931,Sede Principal,Ciudad A
934,Sede Principal,Ciudad C
935,Sede Principal,Ciudad B
936,Sede Principal,Ciudad A
941,Sede Principal,Ciudad C
942,Sede Principal,Ciudad D
944,Sede Principal,Ciudad A
945,Sede Principal,Ciudad D
946,Sede Principal,Ciudad E
948,Sede Principal,Ciudad B
950,Sede Principal,Ciudad B
952,Sede Principal,Ciudad A
954,Sede Principal,Ciudad E
957,Sede Principal,Ciudad A
958,Sede Principal,Ciudad B
959,Sede Principal,Ciudad A
961,Sede Principal,Ciudad D
963,Sede Principal,Ciudad B
965,Sede Principal,Ciudad B
966,Sede Principal,Ciudad A
967,Sede Principal,Ciudad E
968,Sede Principal,Ciudad B
970,Sede Principal,Ciudad B
971,Sede Principal,Ciudad B
972,Sede Principal,Ciudad C
973,Sede Principal,Ciudad A
975,Sede Principal,Ciudad C
976,Sede Principal,Ciudad E
978,Sede Principal,Ciudad E
979,Sede Principal,Ciudad B
982,Sede Principal,Ciudad C
983,Sede Principal,Ciudad D
984,Sede Principal,Ciudad E
987,Sede Principal,Ciudad D
988,Sede Principal,Ciudad C
992,Sede Principal,Ciudad D
993,Sede Principal,Ciudad E
994,Sede Principal,Ciudad D
995,Sede Principal,Ciudad C
996,Sede Principal,Ciudad B
1001,Sede Principal,Ciudad E
1006,Sede Principal,Ciudad B
1007,Sede Principal,Ciudad A
1008,Sede Principal,Ciudad E
1009,Sede Principal,Ciudad B
1010,Sede Principal,Ciudad B
1011,Sede Principal,Ciudad D
1016,Sede Principal,Ciudad B
