id_clase,nombre_clase,docente_id
212,Fútbol,977
213,Baloncesto,989
214,Baloncesto,940
218,Voleibol,638
219,Voleibol,697
220,Fútbol,861
223,Voleibol,601
224,Voleibol,813
225,Baloncesto,275
226,Baloncesto,946
228,Fútbol,142
230,Fútbol,266
231,Voleibol,165
232,Voleibol,575
234,Fútbol,648
238,Fútbol,314
239,Fútbol,129
240,Voleibol,364
241,Baloncesto,860
242,Fútbol,674
243,Voleibol,752
244,Baloncesto,908
245,Baloncesto,816
248,Fútbol,61
250,Baloncesto,851
252,Voleibol,447
253,Baloncesto,4
255,Voleibol,198
256,Voleibol,25
257,Baloncesto,402
258,Fútbol,445
260,Baloncesto,305
261,Fútbol,696
262,Baloncesto,926
265,Fútbol,358
267,Baloncesto,904
268,Fútbol,1000
269,Voleibol,748
270,Fútbol,904
271,Voleibol,438
272,Fútbol,910
273,Fútbol,588
274,Fútbol,460
275,Voleibol,302
276,Baloncesto,657
277,Voleibol,244
278,Baloncesto,719
279,Baloncesto,165
281,Fútbol,110
282,Baloncesto,445
283,Fútbol,571
287,Voleibol,542
288,Baloncesto,924
289,Voleibol,354
290,Baloncesto,456
291,Fútbol,987
294,Fútbol,562
295,Voleibol,915
296,Baloncesto,280
297,Voleibol,979
298,Voleibol,511
300,Baloncesto,194
301,Fútbol,94
302,Fútbol,280
303,Voleibol,235
304,Baloncesto,453
307,Fútbol,404
308,Fútbol,272
309,Baloncesto,600
310,Baloncesto,772
311,Fútbol,646
312,Baloncesto,632
314,Voleibol,321
316,Voleibol,926
317,Fútbol,121
318,Voleibol,840
320,Fútbol,802
321,Baloncesto,566
323,Baloncesto,277
324,Baloncesto,480
328,Fútbol,895
329,Baloncesto,476
335,Voleibol,937
337,Baloncesto,566
338,Fútbol,785
339,Baloncesto,454
340,Baloncesto,752
341,Fútbol,175
342,Fútbol,947
343,Fútbol,61
345,Baloncesto,328
346,Fútbol,575
348,Voleibol,472
349,Baloncesto,269
350,Baloncesto,753
351,Voleibol,144
353,Voleibol,47
356,Voleibol,672
358,Voleibol,51
359,Voleibol,574
360,Baloncesto,53
361,Fútbol,960
362,Baloncesto,977
364,Baloncesto,202
367,Fútbol,463
368,Voleibol,866
370,Fútbol,437
371,Baloncesto,942
372,Fútbol,83
373,Baloncesto,590
375,Voleibol,618
376,Voleibol,476
379,Voleibol,125
381,Fútbol,960
382,Fútbol,476
383,Baloncesto,274
385,Fútbol,263
390,Baloncesto,263
391,Fútbol,556
392,Fútbol,296
393,Baloncesto,38
394,Fútbol,618
397,Baloncesto,145
398,Voleibol,842
399,Fútbol,736
400,Fútbol,794
401,Baloncesto,827
402,Fútbol,27
403,Voleibol,637
405,Fútbol,673
406,Fútbol,61
407,Baloncesto,562
408,Fútbol,33
409,Fútbol,465
411,Voleibol,241
416,Baloncesto,933
417,Voleibol,648
418,Fútbol,679
419,Fútbol,179
421,Voleibol,605
422,Baloncesto,966
423,Baloncesto,647
424,Baloncesto,617
425,Fútbol,388
426,Fútbol,255
427,Fútbol,202
428,Baloncesto,427
429,Baloncesto,423
430,Voleibol,115
431,Voleibol,427
432,Fútbol,682
433,Fútbol,684
434,Baloncesto,330
435,Voleibol,915
436,Baloncesto,82
437,Voleibol,239
439,Fútbol,208
440,Fútbol,178
441,Fútbol,712
442,Voleibol,166
443,Fútbol,158
445,Fútbol,237
446,Baloncesto,416
447,Voleibol,727
449,Voleibol,715
451,Voleibol,141
452,Baloncesto,517
453,Fútbol,134
455,Baloncesto,983
457,Fútbol,17
458,Fútbol,266
459,Voleibol,192
461,Voleibol,498
462,Baloncesto,776
463,Fútbol,182
467,Fútbol,447
470,Baloncesto,280
472,Fútbol,480
475,Fútbol,679
478,Fútbol,700
480,Voleibol,880
483,Fútbol,678
485,Fútbol,24
486,Baloncesto,884
487,Baloncesto,15
490,Voleibol,330
493,Baloncesto,420
494,Fútbol,576
497,Baloncesto,729
498,Baloncesto,634
499,Voleibol,4
500,Baloncesto,394
502,Fútbol,919
505,Fútbol,596
506,Voleibol,224
507,Voleibol,400
508,Baloncesto,603
509,Fútbol,351
510,Fútbol,283
513,Fútbol,100
517,Baloncesto,895
518,Fútbol,932
519,Baloncesto,636
521,Fútbol,157
522,Fútbol,297
524,Baloncesto,520
525,Baloncesto,811
527,Voleibol,70
529,Voleibol,934
530,Baloncesto,852
534,Voleibol,375
535,Fútbol,436
538,Baloncesto,438
540,Baloncesto,65
541,Voleibol,352
548,Voleibol,853
549,Voleibol,510
551,Fútbol,840
552,Baloncesto,864
554,Fútbol,83
556,Fútbol,254
558,Baloncesto,44
560,Fútbol,990
561,Fútbol,857
562,Voleibol,584
563,Baloncesto,804
564,Fútbol,887
565,Baloncesto,364
567,Fútbol,577
570,Voleibol,510
571,Baloncesto,873
572,Baloncesto,131
574,Fútbol,869
575,Voleibol,829
576,Voleibol,195
577,Fútbol,166
578,Voleibol,355
579,Fútbol,49
580,Fútbol,641
581,Voleibol,904
582,Fútbol,897
583,Fútbol,730
584,Fútbol,211
585,Baloncesto,915
586,Baloncesto,667
587,Baloncesto,368
593,Baloncesto,834
595,Voleibol,794
596,Voleibol,202
599,Fútbol,31
600,Voleibol,535
601,Fútbol,431
602,Fútbol,322
603,Fútbol,189
604,Voleibol,893
607,Fútbol,735
610,Voleibol,688
611,Fútbol,169
614,Baloncesto,474
615,Fútbol,582
617,Fútbol,307
621,Voleibol,152
623,Fútbol,231
624,Voleibol,211
625,Baloncesto,186
626,Baloncesto,937
627,Fútbol,629
629,Voleibol,886
630,Baloncesto,847
634,Baloncesto,675
635,Voleibol,952
637,Baloncesto,357
638,Fútbol,670
639,Voleibol,448
641,Fútbol,52
642,Fútbol,572
643,Voleibol,842
645,Baloncesto,725
646,Fútbol,713
650,Voleibol,994
652,Baloncesto,833
653,Fútbol,580
655,Baloncesto,964
656,Baloncesto,884
657,Baloncesto,988
659,Fútbol,187
660,Baloncesto,539
661,Fútbol,71
663,Baloncesto,439
665,Baloncesto,565
666,Voleibol,55
668,Fútbol,900
670,Baloncesto,364
671,Voleibol,641
672,Baloncesto,318
673,Baloncesto,477
674,Voleibol,870
676,Fútbol,682
677,Fútbol,865
678,Voleibol,523
682,Fútbol,911
684,Baloncesto,878
685,Baloncesto,468
686,Fútbol,110
688,Fútbol,346
690,Fútbol,179
691,Fútbol,732
692,Fútbol,998
693,Baloncesto,522
694,Fútbol,418
695,Fútbol,570
696,Fútbol,162
698,Voleibol,385
699,Fútbol,811
700,Voleibol,804
701,Voleibol,322
702,Baloncesto,363
703,Voleibol,468
704,Baloncesto,589
707,Voleibol,982
711,Voleibol,363
712,Baloncesto,971
713,Baloncesto,699
714,Voleibol,216
716,Fútbol,945
718,Voleibol,110
719,Fútbol,614
720,Voleibol,937
721,Voleibol,221
725,Fútbol,361
726,Baloncesto,793
728,Voleibol,655
729,Fútbol,616
731,Baloncesto,820
732,Voleibol,788
733,Voleibol,531
736,Baloncesto,595
737,Voleibol,543
739,Voleibol,48
740,Voleibol,166
741,Baloncesto,2
743,Voleibol,271
745,Baloncesto,939
746,Baloncesto,784
748,Voleibol,589
750,Voleibol,964
751,Voleibol,392
753,Voleibol,711
754,Fútbol,433
755,Fútbol,692
756,Fútbol,156
757,Fútbol,864
758,Voleibol,262
759,Baloncesto,50
764,Baloncesto,223
766,Baloncesto,48
768,Baloncesto,977
769,Fútbol,686
770,Fútbol,4
772,Voleibol,19
773,Voleibol,240
774,Baloncesto,154
775,Fútbol,744
777,Fútbol,766
779,Fútbol,913
780,Baloncesto,564
781,Fútbol,248
782,Voleibol,828
785,Voleibol,348
786,Voleibol,879
787,Voleibol,957
788,Baloncesto,881
789,Voleibol,916
790,Fútbol,295
791,Fútbol,625
792,Fútbol,309
793,Voleibol,655
795,Fútbol,478
797,Voleibol,216
799,Voleibol,468
801,Fútbol,162
802,Fútbol,766
805,Fútbol,606
806,Baloncesto,477
808,Baloncesto,942
810,Baloncesto,540
811,Fútbol,151
817,Baloncesto,139
818,Voleibol,483
819,Baloncesto,477
821,Voleibol,218
822,Baloncesto,173
823,Baloncesto,471
824,Voleibol,952
825,Baloncesto,678
827,Voleibol,890
828,Baloncesto,453
830,Fútbol,318
831,Voleibol,750
832,Baloncesto,853
833,Baloncesto,171
834,Voleibol,400
836,Fútbol,954
837,Voleibol,526
839,Baloncesto,853
840,Fútbol,322
841,Baloncesto,399
843,Baloncesto,921
844,Baloncesto,404
845,Fútbol,796
848,Baloncesto,585
849,Baloncesto,4
850,Voleibol,97
852,Baloncesto,614
853,Voleibol,832
854,Baloncesto,491
855,Voleibol,558
856,Voleibol,498
857,Fútbol,117
858,Fútbol,505
862,Baloncesto,570
864,Baloncesto,257
865,Voleibol,402
868,Fútbol,326
871,Fútbol,204
872,Baloncesto,623
874,Voleibol,439
875,Baloncesto,73
876,Voleibol,284
878,Fútbol,315
880,Baloncesto,845
882,Fútbol,56
883,Voleibol,288
884,Fútbol,716
888,Voleibol,676
890,Fútbol,491
893,Baloncesto,442
894,Fútbol,32
895,Fútbol,779
896,Fútbol,384
897,Fútbol,154
898,Baloncesto,185
900,Voleibol,784
903,Baloncesto,803
904,Fútbol,731
905,Voleibol,825
906,Baloncesto,844
907,Fútbol,663
908,Fútbol,841
909,Fútbol,126
911,Voleibol,744
913,Fútbol,921
914,Voleibol,404
915,Fútbol,495
920,Voleibol,871
921,Baloncesto,557
922,Fútbol,917
923,Fútbol,423
925,Baloncesto,925
927,Voleibol,665
928,Voleibol,712
929,Baloncesto,661
930,Voleibol,845
931,Baloncesto,857
933,Baloncesto,571
934,Fútbol,748
935,Fútbol,456
936,Baloncesto,979
938,Fútbol,533
940,Voleibol,609
941,Voleibol,563
943,Fútbol,325
944,Fútbol,183
945,Baloncesto,831
946,Voleibol,199
949,Baloncesto,846
950,Voleibol,787
952,Voleibol,530
953,Fútbol,610
954,Fútbol,901
957,Fútbol,749
959,Voleibol,703
960,Baloncesto,500
961,Voleibol,749
962,Fútbol,357
963,Fútbol,718
964,Voleibol,392
968,Fútbol,414
969,Fútbol,783
970,Fútbol,773
971,Baloncesto,811
972,Fútbol,956
974,Fútbol,602
976,Fútbol,992
977,Baloncesto,527
978,Voleibol,530
979,Voleibol,313
980,Baloncesto,335
981,Voleibol,574
983,Voleibol,95
988,Baloncesto,896
989,Baloncesto,590
990,Fútbol,623
992,Voleibol,565
993,Baloncesto,17
995,Fútbol,447
996,Baloncesto,969
